,quality
1073,6
1151,6
923,6
1213,6
1093,7
1478,3
1303,5
1336,5
1090,8
518,6
515,5
1076,6
596,6
1453,5
740,6
895,6
1357,6
1552,6
672,5
995,6
601,6
466,6
165,5
1250,6
275,6
941,7
1029,7
716,5
1402,6
302,5
570,6
607,6
708,6
1339,6
410,6
340,6
454,5
1515,6
1576,6
108,6
286,6
1001,7
1295,5
1537,6
1280,6
836,7
1591,6
1189,4
387,6
59,6
253,5
1060,6
1495,6
745,6
914,6
150,6
717,5
1497,6
1372,5
268,6
802,7
804,6
579,6
651,5
955,5
45,4
28,5
1288,5
576,4
1394,5
841,5
1275,6
105,5
1446,5
1067,7
459,3
395,7
386,6
16,7
41,4
715,6
950,7
1406,6
1128,5
1433,7
40,5
358,7
113,6
463,5
620,5
438,6
1159,5
154,5
860,5
329,5
789,5
843,5
1511,5
501,7
972,7
1370,5
86,6
1343,6
445,6
714,5
1075,7
20,6
1341,6
1365,5
372,6
389,7
3,6
233,5
374,6
213,5
82,5
767,5
630,6
1044,6
558,6
634,5
279,7
732,5
953,7
477,6
1095,5
631,5
1528,6
952,7
683,5
517,3
1321,6
447,5
1290,5
1013,6
1429,5
711,5
1021,6
88,5
339,7
1156,7
942,7
1110,6
262,5
179,5
170,4
1310,5
703,4
699,6
538,7
174,5
1020,6
175,5
368,5
1404,6
313,5
728,5
183,5
948,7
966,7
221,5
766,5
1068,7
1291,6
272,5
347,6
795,5
1521,4
616,5
79,4
9,5
1399,6
357,7
640,5
1201,7
1513,6
182,5
727,5
926,6
774,6
442,7
301,6
1458,5
539,5
892,6
1441,6
1367,6
407,7
117,6
1389,5
546,6
837,7
786,5
309,6
1594,5
820,5
76,5
220,6
1418,5
506,7
414,5
1019,5
839,5
411,5
300,6
497,5
524,5
1227,5
1256,5
657,7
1248,6
1150,7
1271,6
192,5
928,5
589,7
1533,5
293,6
1362,6
457,5
878,6
276,6
1255,5
247,5
797,7
144,6
618,5
825,5
1329,6
159,6
251,6
863,5
553,5
529,5
988,5
1139,6
1158,6
1447,5
1006,7
586,7
421,7
523,5
628,6
1278,6
1239,4
687,5
823,5
949,7
394,5
1178,5
1546,5
877,6
1082,6
370,5
1397,5
611,5
238,6
1233,4
505,7
896,7
924,5
971,6
747,5
585,6
1188,5
1088,7
365,6
647,4
816,6
204,6
19,6
919,6
1237,6
75,5
564,6
130,5
201,5
322,5
787,6
361,6
355,6
53,5
873,7
947,7
1522,5
874,7
1274,6
1358,5
827,5
131,5
739,5
965,6
199,4
685,5
333,5
402,6
1352,5
667,6
911,6
1506,6
645,7
726,6
662,6
583,7
1286,6
1565,6
1047,5
1415,5
1294,6
1080,6
308,6
290,7
1081,7
1549,8
1325,6
633,4
1414,5
245,6
671,5
1526,6
931,5
1584,7
1163,5
669,6
1130,6
1460,6
1185,6
186,5
1157,7
77,6
1451,7
1092,6
102,6
187,5
1297,6
1166,5
1436,5
757,5
1403,8
359,6
432,6
55,5
796,5
807,7
1575,6
1264,6
993,5
1435,6
1353,5
486,5
495,8
1466,7
554,5
706,5
1037,5
1410,6
120,5
1519,5
1002,7
577,5
872,4
1556,5
842,6
248,6
1247,5
1531,5
216,5
426,6
367,5
195,5
623,6
125,5
1484,4
1103,6
