,quality
1385,5
1330,6
1171,6
459,3
185,5
480,5
339,7
1359,6
1518,5
1085,5
1110,6
675,5
1507,6
14,5
770,6
174,5
787,6
964,6
1552,6
913,7
764,6
1008,7
1392,5
22,5
1360,5
896,7
1108,5
534,6
1520,6
526,5
360,5
382,6
938,7
1494,7
292,6
1501,5
1307,4
473,5
681,6
740,6
509,7
1422,6
1325,6
749,6
559,6
782,5
352,5
468,6
1027,5
1166,5
190,5
538,7
409,4
487,6
236,6
636,5
836,7
1394,5
507,6
1402,6
529,5
86,6
1144,5
863,5
1454,6
1222,6
1471,5
966,7
68,5
828,8
711,5
1408,7
1371,6
693,5
391,6
1254,5
469,5
1540,6
1460,6
1472,6
1412,6
817,6
704,4
596,6
175,5
709,6
1334,5
1109,6
72,5
1212,6
1529,6
602,5
616,5
662,6
653,6
1426,6
905,5
498,8
126,5
1173,6
970,6
90,5
1271,6
1521,4
1372,5
594,5
1533,5
748,6
786,5
578,5
1279,7
92,5
495,8
801,5
554,5
592,5
211,6
523,5
276,6
985,6
350,6
971,6
577,5
404,5
465,5
203,5
1160,7
1333,5
792,6
506,7
55,5
329,5
171,6
689,5
1147,7
562,5
59,6
536,5
334,7
82,5
10,5
655,5
556,6
291,5
569,6
1035,7
1011,6
1497,6
1150,7
297,5
714,5
1020,6
1583,5
1135,6
628,6
900,5
582,5
611,5
457,5
248,6
954,6
1361,5
114,5
1565,6
216,5
708,6
1068,7
1005,7
45,4
1075,7
1413,5
1127,6
936,6
1207,5
282,5
517,3
563,6
654,5
56,5
1310,5
354,6
209,7
1167,7
423,7
1312,5
1543,6
518,6
1355,5
223,6
328,6
70,6
117,6
551,6
929,7
1317,6
196,5
690,3
280,6
136,5
1541,7
231,6
660,6
1104,6
760,5
35,6
1275,6
677,5
1506,6
1589,5
1362,6
438,6
930,5
908,6
6,5
1419,5
606,7
122,5
163,5
28,5
597,6
1577,6
121,6
1322,5
1264,6
1364,6
33,6
802,7
296,5
944,7
303,5
73,4
857,7
486,5
1113,6
1267,6
1281,6
1366,5
115,6
958,7
953,7
1318,6
260,5
1321,6
664,5
362,5
945,7
135,5
304,5
833,4
558,6
924,5
433,5
289,5
1197,6
1436,5
752,5
442,7
1047,5
331,6
1026,6
1272,5
839,5
1429,5
1285,5
1107,7
1522,5
557,5
371,6
1261,4
1151,6
1500,5
483,5
989,6
1486,5
1021,6
1395,6
955,5
284,5
1018,6
320,7
1415,5
818,5
767,5
475,5
76,5
1229,5
588,8
1122,6
343,6
961,5
541,6
1284,5
838,7
640,5
952,7
860,5
1268,6
253,5
1418,5
1368,6
426,6
548,6
1031,7
1153,6
892,6
395,7
462,5
1006,7
15,5
84,6
113,6
1351,6
1595,6
392,5
430,7
1490,6
716,5
726,6
247,5
411,5
1306,5
589,7
1013,6
390,8
166,5
508,6
429,6
393,5
824,5
1185,6
705,5
380,6
268,6
909,6
1299,3
904,7
1548,5
105,5
118,6
635,5
189,5
98,5
229,5
123,5
1186,5
867,6
154,5
626,5
455,8
349,6
40,5
727,5
615,5
1037,5
1133,7
250,6
572,5
1339,6
201,5
997,7
472,6
897,6
1410,6
1089,7
384,5
1097,5
1071,5
1508,6
1234,6
373,5
580,5
1219,6
67,5
25,5
298,5
1303,5
1304,5
902,7
374,6
275,6
698,5
497,5
934,5
1462,6
841,5
170,4
1423,4
605,6
957,6
1424,6
840,7
150,6
1340,6
1446,5
184,6
1345,6
148,6
1302,6
847,6
1123,6
1245,5
514,7
1562,5
667,6
618,5
265,7
1129,6
1358,5
570,6
1,5
1473,5
431,5
1513,6
346,7
1379,6
1048,6
1427,5
270,6
88,5
52,6
274,5
176,5
765,6
718,5
143,5
827,5
673,5
1495,6
669,6
108,6
1517,6
240,5
883,5
706,5
671,5
552,6
353,5
192,5
1278,6
199,4
1511,5
102,6
139,5
923,6
911,6
1492,5
333,5
1000,7
338,6
1546,5
1280,6
1430,5
133,6
44,5
624,5
383,6
601,6
1060,6
1274,6
1484,4
1523,5
1121,6
1551,5
1512,6
62,7
586,7
43,5
152,5
1216,6
267,8
821,7
644,5
1342,6
1125,7
1586,6
464,6
547,6
715,6
363,5
1295,5
1502,5
1169,6
1184,5
160,5
406,6
116,6
336,6
1387,5
975,5
11,5
732,5
925,7
322,5
1465,5
699,6
701,6
1346,5
1090,8
16,7
32,5
427,6
30,5
619,5
1341,6
585,6
1463,6
600,4
1063,6
7,7
1040,5
978,7
1226,5
1367,6
500,6
1594,5
1141,6
106,5
685,5
1221,6
1572,5
887,7
158,5
1435,6
729,6
1156,7
254,6
803,6
183,5
446,5
1554,6
1105,5
1347,5
1270,6
926,6
1029,7
793,5
1404,6
38,4
1162,7
1576,6
24,6
822,5
1236,6
977,5
1488,5
218,5
1096,6
1459,7
226,6
806,7
916,5
144,6
1406,6
264,5
151,4
69,6
283,7
1083,6
1579,5
1469,3
5,5
687,5
477,6
1258,6
634,5
1374,3
1259,6
1375,5
1255,5
419,5
1314,6
700,6
862,5
461,5
501,7
1373,5
1091,6
242,6
915,6
1547,5
262,5
255,5
620,5
1556,5
1324,6
1250,6
1566,6
243,7
1461,4
372,6
721,5
682,5
773,6
61,5
516,6
1176,4
939,5
19,6
1238,4
1588,6
1349,5
919,6
287,6
210,6
110,5
1587,6
1485,5
1178,5
1519,5
34,5
358,7
1319,6
369,7
1449,8
489,6
89,5
755,6
206,7
326,7
186,5
998,6
566,6
299,5
1491,5
797,7
1247,5
1168,6
31,6
543,6
917,6
1163,5
