,quality
888,6
943,7
361,6
286,6
354,6
1130,6
725,5
1402,6
223,6
1546,5
210,6
650,5
904,7
862,5
1594,5
316,5
651,5
448,6
21,5
1313,6
804,6
453,7
1453,5
5,5
375,7
121,6
1465,5
240,5
270,6
229,5
1,5
592,5
790,6
906,5
151,4
1068,7
1085,5
824,5
1112,6
754,6
801,5
900,5
849,5
1501,5
277,6
442,7
180,5
231,6
1231,5
1413,5
403,6
46,5
1472,6
497,5
1080,6
925,7
591,6
681,6
964,6
1564,5
1200,6
241,6
1250,6
881,6
1091,6
959,5
485,5
365,6
30,5
621,5
704,4
440,8
471,6
1510,6
1348,5
1323,7
1258,6
1447,5
546,6
1093,7
1526,6
117,6
721,5
659,4
974,7
1087,6
379,6
1139,6
1062,6
114,5
189,5
894,6
150,6
1115,6
1162,7
1031,7
869,6
1475,7
1463,6
1081,7
1064,6
908,6
44,5
551,6
1133,7
40,5
1503,6
1412,6
1341,6
1026,6
913,7
1533,5
1041,6
989,6
273,5
1389,5
1474,5
1484,4
945,7
1005,7
1191,5
1356,5
889,5
1104,6
1050,5
29,6
1429,5
792,6
209,7
563,6
1368,6
383,6
199,4
1355,5
1216,6
1117,6
1560,5
834,5
685,5
1488,5
1038,7
921,6
148,6
238,6
746,6
993,5
829,6
165,5
647,4
1044,6
607,6
1550,5
445,6
7,7
846,5
404,5
1424,6
1092,6
1347,5
722,5
405,6
679,5
477,6
182,5
1528,6
589,7
1243,5
437,6
1110,6
23,5
816,6
806,7
649,6
377,7
290,7
628,6
97,5
47,5
292,6
69,6
1508,6
735,5
1277,6
146,5
530,6
143,5
985,6
1558,5
877,6
1392,5
386,6
1377,6
211,6
349,6
289,5
144,6
1268,6
140,5
693,5
808,5
490,6
1218,6
433,5
221,5
1504,6
421,7
444,7
4,5
166,5
329,5
1433,7
1227,5
1105,5
94,4
1530,6
431,5
109,5
11,5
350,6
1423,4
72,5
1285,5
768,6
171,6
680,5
1591,6
184,6
1577,6
1312,5
160,5
504,7
830,4
1393,5
458,7
19,6
136,5
1016,7
631,5
409,4
1189,4
597,6
737,6
562,5
75,5
1353,5
1192,7
885,5
1025,6
382,6
671,5
1361,5
1374,3
1275,6
491,7
84,6
753,5
999,6
1466,7
59,6
154,5
840,7
879,5
1141,6
1234,6
1385,5
461,5
137,5
519,5
1492,5
1529,6
652,5
496,6
728,5
789,5
1445,6
832,3
6,5
1400,5
844,6
886,6
308,6
571,6
159,6
717,5
541,6
1174,6
706,5
868,6
1296,5
1502,5
49,5
1427,5
130,5
